d^2,N,2log d,log N
77.84164609,100,4.605170186,4.354676585
243.7478761,200,5.298317367,5.496134396
196.6435349,300,5.703782475,5.281392622
298.4510472,400,5.991464547,5.698605923
310.6834093,500,6.214608098,5.738774417
494.6029392,600,6.396929655,6.203755298
923.7561609,700,6.551080335,6.828448142
836.6964351,800,6.684611728,6.729461323
525.0167671,900,6.802394763,6.263430199
481.1802919,1000,6.907755279,6.176242027
764.6086364,1100,7.003065459,6.639364117
994.1428845,1200,7.090076836,6.901880943
940.5900056,1300,7.170119543,6.846507344
856.2976533,1400,7.244227516,6.752618042
1389.741887,1500,7.313220387,7.236873316
2438.04282,1600,7.377758908,7.798950874
1269.320125,1700,7.43838353,7.146236701
1655.783228,1800,7.495541944,7.412029425
997.8148734,1900,7.549609165,6.905567761
1735.033183,2000,7.60090246,7.458781818
1460.613271,2100,7.649692624,7.286611675
859.9664819,2200,7.696212639,6.756893414
2535.075851,2300,7.740664402,7.837978837
1981.060236,2400,7.783224016,7.591387453
2062.532393,2500,7.824046011,7.631689824
1704.693152,2600,7.863266724,7.441140404
2249.151567,2700,7.901007052,7.718308343
3727.112578,2800,7.937374696,8.223389105
2392.366805,2900,7.972466016,7.78003845
1807.31634,3000,8.006367568,7.499598339
1743.972441,3100,8.03915739,7.463920802
2669.377952,3200,8.070906089,7.889600747
1678.133847,3300,8.101677747,7.42543765
2565.0247,3400,8.131530711,7.849723387
2611.746276,3500,8.160518247,7.867774348
2638.196581,3600,8.188689124,7.877850849
2183.498328,3700,8.216088099,7.688683607
1913.692364,3800,8.242756346,7.55678983
4134.552429,3900,8.268731832,8.327134362
1576.902363,4000,8.29404964,7.363217672
4361.301508,4100,8.318742253,8.380525803
4318.887332,4200,8.342839804,8.370753086
2460.796693,4300,8.366370302,7.808240435
4294.604803,4400,8.38935982,8.365114817
2585.368756,4500,8.411832676,7.857623429
3521.2042,4600,8.433811582,8.166558312
2764.605017,4700,8.455317788,7.924653053
2611.28473,4800,8.476371197,7.867597613
5428.667713,4900,8.496990484,8.599449026
3262.806919,5000,8.517193191,8.090343122
1909.395434,5100,8.536995819,7.554541944
3782.894695,5200,8.556413905,8.238244788
4957.466954,5300,8.5754621,8.508650195
5778.731641,5400,8.594154233,8.661939498
4757.53818,5500,8.612503371,8.467485624
3502.606631,5600,8.630521877,8.161262722
7244.931814,5700,8.648221454,8.888057443
4100.518608,5800,8.665613197,8.318868734
5053.424856,5900,8.68270763,8.527821482
2815.944013,6000,8.699514748,7.943052835
3960.228805,6100,8.71604405,8.284057082
8815.892619,6200,8.732304571,9.084311351
5430.831062,6300,8.748304912,8.599847451
3465.545353,6400,8.764053269,8.150625288
7188.332881,6500,8.779557456,8.880214557
6555.844809,6600,8.794824928,8.788112268
3170.739718,6700,8.809862805,8.061720189
2800.327771,6800,8.824677891,7.937491751
4791.943945,6900,8.839276691,8.474691442
3762.134307,7000,8.853665428,8.23274171
7501.208682,7100,8.867850063,8.922819444
5259.080354,7200,8.881836305,8.567711453
2938.079345,7300,8.895629627,7.985511363
4390.76406,7400,8.909235279,8.387258536
3553.553654,7500,8.9226583,8.175703411
5453.820723,7600,8.935903526,8.604071692
7534.619298,7700,8.948975608,8.927263585
3369.296113,7800,8.961879013,8.122459133
9766.686302,7900,8.974618038,9.186732517
7472.267479,8000,8.987196821,8.918953777
6816.002071,8100,8.999619341,8.827028372
6419.010092,8200,9.011889433,8.767019194
6363.298691,8300,9.024010794,8.758302184
8182.788116,8400,9.035986985,9.009788217
3680.836236,8500,9.047821442,8.210895244
7049.330534,8600,9.059517482,8.860687932
9809.938274,8700,9.071078305,9.19115126
8840.119191,8800,9.082507,9.087055639
4657.9688,8900,9.093806556,8.446334752
4117.563966,9000,9.104979856,8.323016997
6342.502686,9100,9.116029693,8.755028715
4328.959922,9200,9.126958763,8.373082589
7935.519352,9300,9.137769679,8.979104082
16129.09733,9400,9.148464968,9.688380207
6769.907952,9500,9.159047078,8.820242769
3457.365405,9600,9.169518377,8.148262134
6766.37953,9700,9.179881164,8.819721441
7856.208051,9800,9.190137665,8.969059333
6977.525497,9900,9.200290036,8.85044962
