n,(d/l)^2,l
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
100,66.05411714,1
100,124.1393188,2
100,97.82276858,3
100,42.91566958,4
100,46.24392723,5
100,121.7351331,6
100,92.74047599,7
100,91.99547596,8
100,108.5932778,9
200,165.7380622,1
200,107.2752073,2
200,126.1988238,3
200,196.6979368,4
200,131.0650701,5
200,236.3879742,6
200,127.1430301,7
200,146.9796235,8
200,217.1586235,9
300,223.2571115,1
300,165.1698528,2
300,243.5837198,3
300,258.4944718,4
300,182.618451,5
300,293.0946256,6
300,289.8022248,7
300,269.8183254,8
300,125.8694259,9
400,398.7447254,1
400,456.4938887,2
400,404.257269,3
400,326.5239985,4
400,247.4666762,5
400,188.4803976,6
400,574.536189,7
400,282.4089029,8
400,325.5410097,9
500,243.8411264,1
500,409.4166277,2
500,246.2925191,3
500,306.0640837,4
500,332.9490725,5
500,554.4699356,6
500,492.3941358,7
500,324.6012512,8
500,689.0391182,9
600,294.5282543,1
600,337.1030039,2
600,440.7837319,3
600,742.5314543,4
600,179.0107032,5
600,330.0936212,6
600,633.6342031,7
600,391.3937646,8
600,419.8823429,9
700,520.3323415,1
700,495.3270815,2
700,383.0356071,3
700,824.8216824,4
700,1027.746315,5
700,535.1791093,6
700,550.8278914,7
700,133.4285929,8
700,411.7829568,9
800,585.3811008,1
800,505.3653938,2
800,431.0764995,3
800,505.3632492,4
800,378.8942915,5
800,753.3414463,6
800,799.4856174,7
800,621.6440946,8
800,562.3176934,9
900,681.6936269,1
900,597.6612565,2
900,743.0481336,3
900,844.3496037,4
900,800.4447193,5
900,936.4757927,6
900,797.3901163,7
900,1010.116188,8
900,371.2419386,9
1000,864.1035975,1
1000,921.4071702,2
1000,1102.584533,3
1000,496.3181855,4
1000,699.5117709,5
1000,781.3484048,6
1000,762.2538937,7
1000,829.007345,8
1000,885.482032,9
